text,annotations
"Report: Adam Neumann, Benchmark Unloaded $676.5M In WeWork Shares Before Failed IPO. The more we learn about the WeWork debacle, the more head-scratching it gets. Subscribe to the Crunchbase Daily According to a news report from The Telegraph, WeWork co-founder and ousted CEO Adam Neumann unloaded $361 million worth of shares when Japanese investment conglomerate SoftBank first invested in the company in 2017. And he wasn’t the only one. The Telegraph reports that Benchmark , which was WeWorks’ first major investor, also cashed out at the time. It apparently “sold $315.5m in shares during the 2017 deal and a later SoftBank investment in 2019,” the news article reveals. Specifically, according to Crunchbase, Benchmark led WeWork’s $17 million Series A (ironically some may say) on April 1, 2012. This means that WeWork’s largest shareholders’ (previously undisclosed) sell-offs made up nearly one-third of the $2.3 billion worth of shares SoftBank bought from insiders right before the company was set to go public in 2019. The practice of early investors getting rid of their shares before an IPO is not an illegal one but, as The Telegraph and others on Twitter acknowledge, it’s not exactly typical. I mean, don’t most people hope a company goes public at a higher valuation so that they will make even more money? As The Wall Street Journal reporter Eliot Brown points out , a few other high-profile companies (Zynga, Groupon and Blue Apron) also saw their founders/CEOs sell a larger number of shares. In each of those cases, he said, the companies’ IPO prices were lower. For those of you who haven’t been following the WeWork saga, the company decided to cancel its IPO last September. At that point, SoftBank agreed to a $9.5 billion bailout of the company in a deal that included buying $3 billion worth of shares from existing investors at a $10 billion valuation. This was significantly less than the $47 billion valuation at which SoftBank purchased shares in 2019, noted The Telegraph. Earlier this month, our own Sophia Kunthara reported that SoftBank had withdrawn its $3 billion tender offer for WeWork shares, citing conditions of the offer not being satisfied. Also today, SoftBank Group forecast a net loss of $7 billion for the fiscal year ended March due to the negative impact of coronavirus and losses related to WeWork, AFP reported . Illustration: Li-Anne Dias","{'WeWork': 'wework.com', 'Benchmark': 'benchmark.com', 'Zynga': 'zynga.com', 'Groupon': 'groupon.com', 'SoftBank Group': 'group.softbank', 'WeWorks': 'wework.com', 'SoftBank': 'group.softbank', 'Blue Apron': 'blueapron.com'}"
"Report: Palantir Could Go Public In The Next Year. Big data analytics company Palantir Technologies may go public within the next year, CEO Alex Karp said on “ Axios on HBO .” Subscribe to the Crunchbase Daily If the company goes public soon, it would be a big move for the IPO market, which has been slow so far this year because of the COVID-19 pandemic. Very few tech companies have gone public since the pandemic took hold, with most public debuts being pharmaceutical or health-centered companies. “The real holdup at Palantir was we were building products and we needed to kind of get enough of them out so that people would see the robustness of our company, both internally and externally,” Karp said on the show. Last month, Bloomberg reported that Palantir expected to generate $1 billion in revenue this year, breaking even for the first time in company history. The company, which was founded in 2004, has more than $2 billion in total funding, according to Crunchbase data . Backers include Manhattan Venture Partners and Bracket Capital . The company’s revenue was $739 million in 2019, up 24 percent from the previous year, according to Bloomberg. Karp noted in 2016 that he was considering an IPO for the company, although there was no timeline. For more details on Palantir’s financials, check out the Crunchbase News article here . The company’s been in something of an “IPO limbo” for some time, something Crunchbase News has noted before . So Karp saying that it could go public within the next year, when there’s a global pandemic, is interesting. Palantir, which was co-founded by Peter Thiel, is known for being extremely private and for having several contracts with the United States government. Most notably, the company took heat for contracting with U.S. Immigration and Customs Enforcement, something, Karp said on Axios , that caused some of his favorite employees to leave. Illustration: Li-Anne Dias","{'Palantir Technologies': 'palantir.com', 'Palantir': 'palantir.com', 'Manhattan Venture Partners': 'mvp.vc', 'Bracket Capital': 'bracketcapital.com'}"
"Portal Raises $2.55 Million, Launches Video Sharing App. In Asia, micro and in-app payments have become an important feature in many social content platforms, including WeChat. The tipping function on Tencent’s superapp has given more agency to the individuals consuming mobile content and is widely popular among WeChat users, creating a culture of monetary appreciation for creators. Follow Crunchbase News on Twitter One startup, Portal , is looking to bring the user-centric micro tipping phenomenon to the United States. CEO and Cofounder Jonathan Swerdlin told Crunchbase News that the mobile tipping phenomenon in Asia inspired Portal. “[Payments] are now just as easy in the West as they are [in Asia]. It’s just that a lot of companies have become so addicted to the ad model that they are not exploring these other models,” Swerdlin expressed. To that end, Swerdlin and his team have created a mobile video app that functions as a peer-to-peer payment-enabled content platform. The company, which is launching out of beta today, has raised an additional $2.55 million in seed funding, bringing its total funds raised to $4.2 million. The company’s investors include Mark Cuban , Day One Ventures , the founder of Thinx Miki Agrawa l, and others. With the Portal iOS app, creators can upload content, which shows up in a chronological feed. They can monetize their videos through paywalls on specific content and through the tipping model that allows users to instantly give anywhere from 10 cents to $100 with purchased coins. Soon, Portal will be launching an option for subscriptions ranging from 99 cents to $24.99 a month. In eliminating the ad model, Swerdlin and his team hope to give content creators an open opportunity to create with the support of their followers rather than relying on advertisers that the creators may not support, or that may not support their content. Portal is similar to other monetization platforms like Patreon , which was founded in 2013. Investors have funneled $105.9 million into the creator-focused startup, and it was last valued at just under $450 million. However, Swerdlin said that while Patreon focuses on crowdfunding, Portal is moving that idea a step further. “Patreon has done an amazing job. And what they’ve done is they’ve proven that audiences will absolutely unequivocally pay content creators. What we’re doing is we’re taking those tools for those payments, and we’re baking that directly into the experience, rather than making it a crowdfunding tool that you have to go outside to use,” he told Crunchbase News. He also noted that Twitch has implemented tipping and subscriptions for gaming, but that Portal is bringing that model to uploaded content for a more mainstream western audience. Portal’s beta users have included well-known content creators like The Young Turks and transgender activist Corey Rae. Crunchbase News asked Swerdlin how he believed the earnings potential would change as less popular users come onto the platform. “The earning potential is limitless. And the ability to earn is important for everyone. It’s going to depend on the not necessarily a size of your audience, but that the value and depth that you’re bringing to your audience,” Swerdlin said. In sticking with the ad-free model, Swerdlin says that he expects Portal to grow organically, with the team relying on word of mouth for its future growth. Without a huge amount of traction, battling a tech behemoth that is both deep-pocketed and culturally ubiquitous will undoubtedly prove to be a challenge. “Our focus is on making sure that this is a product that solves content creators’ and publishers’ biggest problems and gives people a platform that they can trust, where they’re getting the very best content that’s made. If we do that correctly, then word of mouth will be our greatest marketing engine.” Illustration Credit: Li Anne Dias","{'Day One Ventures': 'dayoneventures.com', 'Patreon': 'patreon.com', 'Thinx': 'shethinx.com', 'Portal': 'portal.xyz', 'Tencent': 'tencent.com', 'Twitch': 'twitch.tv'}"
"Proust Goes Tech with Colin Jordan, Director of Corporate Communications at Egnyte. Colin Jordan , Director of Corporate Communications (aka Head of PR) at Egnyte , a company that provides businesses (including Red Bull, IKEA, and Buzzfeed) with collaboration and management solutions, handles everything from social media strategy to executive communication. Follow Crunchbase News on Twitter & Facebook While he is not busy drafting press releases, Colin competes on a softball team, plays hockey, and is part of a pick-up basketball league. Colin recently moved to Arizona and commutes back to the Bay Area every few weeks. Not having to deal with Bay Area traffic saved Colin a little bit of time to answer the Proust questions today. What would you otherwise be doing right now? Either a sports agent or a lawyer. One of my strong points is negotiation and being argumentative. The lawyer path would probably have led me to the intersection of legal and sports management. Your main fault? Stubbornness. I see things a certain way, and I often find it difficult to relinquish something of the things I like about my idea or my vision. The quality you most desire in a tweet? Aesthetically pleasing. I cannot stand when someone starts a tweet with a #hashtag or a ton of hashtags in the middle of the tweet. Your idea of misery? Bay area traffic and unnecessary meetings. What do you appreciate the most in your friends? Their honesty and transparency. Your chief characteristic Passion. Everything that I do whether it is work, my softball team, weightlifting, my diet; I put 100 percent into it. What skill do you wish you possessed? Empathy. Being able to put myself in other people’s shoes and understand that not everybody has the drive that I do, the interests that I do, or the same thought process that I do. Your most impactful book? Tools of Titans by Tim Ferriss. It’s basically a huge selection of thoughts, tools, characteristics, and lessons from really successful people, whether it is an athlete, an investor or a businessman. What defines success? Making an impact on those around you, on the business that you are working for, or your family. When is confidence lost? When people that are closest to you are disappointed. What virtues do others have that you don’t? I have a colleague who is amazing in terms of organization, reporting, planning, and everything. She had a spreadsheet and a document for everything. I, on the other hand, have a pretty good memory but in terms of actually having things down on paper, organization and just reporting, that’s something that I wish I was better at. What’s the biggest problem tech is failing to solve? Creating solutions for the masses. We are so hyper-focused on solving problems that face a small segment of people. Tech needs to do a better job addressing areas outside of our own world. Editorial note: Answers have been edited for brevity and clarity.","{'Egnyte': 'egnyte.com', 'Buzzfeed': 'buzzfeed.com', 'Red Bull': 'redbull.com', 'IKEA': 'ikea.com'}"
"Peloton Confidentially Files for IPO. Peloton , the maker of pricey in-home bicycles and treadmills paired with on-demand fitness classes, announced today that it has filed to go public confidentially. The New York-based company said it has not yet determined the number of shares to be offered or the price range. Subscribe to the Crunchbase Daily The news is not shocking as we all knew it was coming. In February, our EIC Alex detailed the company’s funding history in advance of the big day. Since it was founded in 2012, Peloton has raised nearly $1 billion . Its most recent raise was a $550 million Series F that was announced last August at a $4.15 billion valuation . Backers include many heavyweight investors such as TCV , Kleiner Perkins and Tiger Global Management, among many others. As for its financials, Alex wrote in February that “Peloton has posted material revenue and strong top-line growth in recent years. The subscription exercise shop put up around $400 million in revenue during 2017 and is on said to be on track for $700 million in its current fiscal year. That’s the sort of growth that investors love from venture-backed companies like Peloton.” Illustration: Li-Anne Dias","{'Tiger Global Management': 'tigerglobal.com', 'TCV': 'tcv.com', 'Peloton': 'onepeloton.com', 'Kleiner Perkins': 'kleinerperkins.com'}"
"Lunar Tech Startup ispace Raises $28M. Japanese space tech startup ispace has raised $28 million for its Series B round, bringing its total funding to about $125 million. Subscribe to the Crunchbase Daily The lunar exploration startup is working to build a commercial lunar lander. The company is aiming to be a “ gateway for the private sector to bring their business to the moon,” per a statement from the company. The Series B round was led by IF SPV 1st Investment Partnership (which is managed by Incubate Fund ), and included participation from Space Frontier Fund, Takasago Thermal Engineering Co. , and Mitsui Sumitomo Insurance Co. According to the announcement from the startup, the new funding will be used to develop its commercial lunar landing for ispace’s first mission, which is planned for 2022, as well as its second mission, which is planned for 2023. The company is also rolling out Blueprint Moon, a lunar business data platform meant to help others with lunar market entry by collecting and providing lunar data, per a statement from the company. “This new investment and launch of our new lunar data offering concept will not only support the steady development of ispace’s business, but will also prove that ispace can lead globally in the development of the lunar economy, expanding humanity’s presence into space and creating a more sustainable world,” CEO Takeshi Hakamada said in a statement. The company has more than 100 employees and offices in Japan, Europe, and the United States, per a statement from ispace. It last raised money with its $95 million Series A in late 2017, according to Crunchbase. Illustration: Li-Anne Dias","{'Space Frontier Fund': 'sparxsif.com/en', 'Mitsui Sumitomo Insurance Co.': 'msigusa.com', 'ispace': 'ispace-inc.com', 'Incubate Fund': 'incubatefund.com/en/aboutus', 'Takasago Thermal Engineering Co.': 'tte-net.com/english/index.html'}"
"Giving Cats Some Love: Pet Food Startup Smalls Nabs $9M Series A For Cat Food. Smalls , the direct-to-consumer pet food company for cats, received a cash infusion of $9 million in Series A funding to expand its product offerings. Subscribe to the Crunchbase Daily Left Lane Capital led the round, with participation from existing investors Founder Collective and Companion Fund . The new investment gives New York-based Smalls a total raise of $12 million since its inception in 2017. That includes a small seed round in 2018 and a seed extension in 2019, Matt Michaelson told Crunchbase News. Michaelson and Calvin Bohn started Smalls as a cat-first brand focusing on human-grade, fresh food. In the U.S. pet owners have 94 million cats versus approximately 89 million dogs. Further, about 95 percent of venture capital funding in the pet food industry goes to dog-centric companies, Michaelson said. Those statistics attracted Left Lane Partner Jason Fiedler , one of the first investors in The Farmer’s Dog . “While we’ve seen a proliferation of highly successful healthy dog food brands, the cat food market has remained completely ignored,” Fiedler said in a written statement. “Smalls has successfully developed a brand, product mix, supply chain, and customer experience that is specifically optimized for cats that no one else has.” The new funding will enable Smalls to grow its business, particularly around expanding food selection, such as formula innovation and new recipes for cats, which are naturally picky eaters, Michaelson said. It will also be used to help bring in new customers and subscribers. Next up, Smalls will continue acquiring new customers and making new hires. The company currently has an employee base of 18, and Michaelson expects that number to grow to 25 by next year. Year over year, the company has experienced four times revenue growth and has several thousand subscribers. Its growth is credited in part to the overall online cat food delivery market experiencing a 162 percent year-over-year increase from March 2019 to March 2020, Michaelson said. “Our growth has been pushed a bit by COVID-19,” he added. “On one level, more people are looking for food that shows up at their door. On another, pet adoption is exploding, and as people spend more time with cats, they are thinking about their health and wellness.” Photo courtesy of Smalls Illustration: Li-Anne Dias","{'Companion Fund': 'companionfund.com', 'Smalls': 'smalls.com', 'Founder Collective': 'foundercollective.com', 'The Farmer’s Dog': 'thefarmersdog.com', 'Left Lane Capital': 'leftlanecap.com'}"
"Relish Secures $5M Series A To Grow Relationship Training App. Gaining a more fulfilling relationship with a significant other is an ongoing activity, made even more important today as many couples spend either a lot of time together, or not as much, because of social distancing. Subscribe to the Crunchbase Daily Serial entrepreneur Lesley Eccles has raised a $5 million Series A round of funding to fuel growth plans for Relish , her new customized relationship training app that makes it easy to build a happy, healthy, more connected relationship with your partner. “It doesn’t matter how much money or success you have, what matters are the relationships in your life: How strong are they, and how happy are you?” Eccles told Crunchbase News. The app uses machine learning to create a customized, scientifically backed relationship improvement plan in the form of interactive lessons, quizzes and activities, with qualified human relationship coaches on hand for support when needed, she said. The 1-year-old company’s Series A was led by Bessemer Venture Partners with participation from previous investors Trinity Ventures and Bullpen Capital . This latest round brings the company’s total funding to $7.2 million, which includes a $2.2 million venture round in October 2018, according to Crunchbase data. In addition to the raise, Rob Stavis, partner at Bessemer Venture Partners, will join Relish’s board of directors. The concept for Relish started at the end of 2017, when Eccles left fantasy sports platform FanDuel where she was a co-founder. She began reading books about relationship science and psychology, and started digging deeper into what makes a strong relationship between intimate partners. “The idea behind Relish is to get people thinking about relationship wellness,” she said. “I want to make the world a happier place. Two years ago, that was relevant to me, but today it is relevant to the world at large.” The app mimics the experience of seeing a relationship coach, proposing customized lessons and activities based on an assessment, and will adapt as the lessons and activities are completed, Eccles said. There is also a team of relationship coaches who users can reach out to for advice. Eccles said the app is growing by 30 percent to 40 percent each month. Meanwhile, Relish is free to download, and the annual subscription is $99 for two people. Similar apps, she said, can cost near that per week. Prior to today’s environment of social distancing, Relish users downloaded the app because they felt disconnected from their partner and wanted to improve communication skills, Eccles said. Now, she sees users who are at home together and find they have more time to reflect on their relationship and invest in it–if it is not too late. “There is also this idea that you are in a pressure-cooker environment, and cracks in the relationship are now chasms,” she added. “You need help, but can’t go and meet friends. Relish is helpful for those types of relationships as well.” Illustration: Li-Anne Dias .","{'Bessemer Venture Partners': 'bvp.com', 'FanDuel': 'fanduel.com', 'Trinity Ventures': 'trinityventures.com', 'Bullpen Capital': 'bullpencap.com', 'Relish': 'hellorelish.com'}"
"Postmates Raises $300M, Targets 2019 IPO. Postmates , an American delivery startup, announced today that it closed $300 million in a new funding round. Follow Crunchbase News on Twitter Tiger Global led the round. The investor is a prior investor in Postmates, having previously taken part in its massive Series D. Postmates had raised $278 million before this round, meaning that its latest capital infusion is greater in scale than all of its preceding raises combined. According to Fortune , the new round values Postmates at “approximately $1.2 billion.” That valuation comes against what Recode reporter Jason Delrey describes as “an operating loss of $75 million on $250 million in revenue in 2017” at the startup. Postmates itself released a grip of metrics as part of its funding announcement, including notes on scale (greater than $1 billion annual gross merchandise volume), financial health (gross margins now “nearly 50 [percent] in the last year”), market viability (90 percent of locales “driving profitability,” which likely means positive contribution margin), and promises (more markets and 75 percent of US household penetration coming this “Fall”). Those numbers and factoids along with the new capital point Postmates in a single direction, per its CEO’s comments and the company’s blog post: an IPO. Per the company: “We’ll balance targeted growth strategies, smart unit economics, and sensible customer pricing to expand from urban cores to suburban and rural parts of the country. And we’ll march towards an IPO.” That Postmates wants to go public isn’t historically surprising; an IPO is a standard way for young companies to show maturity and provide liquidity to investors and employees. But to be so upfront about it in the unicorn era is notable. Uber is also targeting an IPO , while fellow unicorns Airbnb and Pinterest seem less certain . Uber has 2019 in mind for its own debut. As does Postmates. Postmates’s CEO noted in an interview that “[w]e have a beautiful path to an IPO in 2019.” Questions remain and competition abounds, but Postmates remains far more than not-dead in a market that many presumed Uber would simply take over. Not so, so far. More on the matter when Postmates inevitably begins releasing financial information directly, or via targeted leaks, as it gets a few quarters out from filing. Top Image Credit: Li-Anne Dias","{'Tiger Global': 'tigerglobal.com', 'Airbnb': 'airbnb.com', 'Uber': 'uber.com', 'Pinterest': 'pinterest.com', 'Postmates': 'postmates.com'}"
"In Growing Cybersecurity Market, Darktrace Raises $50M Series E. Cybersecurity platform Darktrace has raised $50 million in Series E funding. The round was led by Vitruvian Partners . Previous investors KKR and TenEleven Ventures also participated. Follow Crunchbase News on Twitter The company has raised $229.5 million in total known funding. That includes the company’s $75 million Series D in July 2011. (Darktrace CEO Nicole Eagan told Crunchbase News in an email that $25 million of that round was secondary market financing.) The company is now valued at $1.65 billion, post-money. Founded in 2013, Darktrace deploys an AI-powered cybersecurity software that assesses normal behavior, detects abnormalities, and automatically responds to threats. The company has also launched an autonomous response platform for cloud systems and an email threat mitigation platform. “Darktrace is a self-contained system that is deployed in less than an hour, requiring zero human configuration or training,” Eagan told Crunchbase News in an email. “Once deployed, it instantly begins learning ‘normal’ for the network, and is identifying genuine threats and anomalies in just seven days.” The company is based in Cambridge, UK but has offices globally. The company currently “operates within 7,000 unique networks,” and its customers range in industry from retail to government. Eagan told Crunchbase News the company is also working with local and state governments in the U.S., including the City of Las Vegas and Livingston County. The company isn’t releasing specific revenue metrics, but Eagan wrote that Darktrace has grown by 100% over the past year, and that its company-wide contract agreements totaled $400 million. With the funding, the company plans to increase its 750 global headcount to 1,000 by the end of the year. It also plans to open more global offices in “regions where demand is highest.” Cybersecurity has been a hot topic among governments and in the venture world recently. Other companies are leveraging AI for cybersecurity including Cylance and Crowdstrike (valued at $3 billion) which raised $120 million and $200 million , respectively, in June 2018. When asked what how Darktrace differs from its competitors, Eagan told Crunchbase News that the “speed, precision, and power of [the Darktrace] technology is simply unmatched.” Illustration Credit: Li Anne Dias Editiorial Update: A previous version of this article stated that the company had raised $179.5 million, that was not inclusive of the current round. It has since been updated.","{'Darktrace': 'darktrace.com/en', 'Vitruvian Partners': 'vitruvianpartners.com', 'Cylance': 'blackberry.com/us/en/cylance', 'TenEleven Ventures': '1011vc.com', 'Crowdstrike': 'crowdstrike.com', 'KKR': 'kkr.com'}"
